Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",-32.029240,46.046800,0.000000,bottom
"C2","100nF","C_0805_2012Metric",-32.129240,52.246800,0.000000,bottom
"C3","10pF","C_0805_2012Metric",-38.929240,31.146800,180.000000,bottom
"C4","10pF","C_0805_2012Metric",-38.929240,33.546800,0.000000,bottom
"C5","100nF","C_0805_2012Metric",-24.879240,35.546800,90.000000,bottom
"C6","100nF","C_0805_2012Metric",-4.229240,18.146800,270.000000,bottom
"C7","100nF","C_0805_2012Metric",0.770760,19.396800,0.000000,bottom
"C8","10uF","C_0805_2012Metric",-48.929240,45.746800,0.000000,bottom
"C9","2,2uF","C_0805_2012Metric",-52.179240,36.696800,270.000000,bottom
"C11","10uF","C_0805_2012Metric",-22.929240,15.146800,0.000000,bottom
"C12","2,2uF","C_0805_2012Metric",-24.479240,5.171800,270.000000,bottom
"C14","10pF","C_0805_2012Metric",-35.329240,33.546800,0.000000,bottom
"C15","33pF","C_0805_2012Metric",-38.929240,28.746800,180.000000,bottom
"C16","33pF","C_0805_2012Metric",-35.329240,28.946800,0.000000,bottom
"C17","33pF","C_0805_2012Metric",-35.329240,31.146800,180.000000,bottom
"C18","10pF","C_0805_2012Metric",-55.729240,27.546800,0.000000,bottom
"C19","10pF","C_0805_2012Metric",-55.729240,29.546800,180.000000,bottom
"C20","10pF","C_0805_2012Metric",-59.129240,29.546800,180.000000,bottom
"C21","33pF","C_0805_2012Metric",-56.329240,25.546800,0.000000,bottom
"C22","33pF","C_0805_2012Metric",-60.129240,25.546800,180.000000,bottom
"C23","33pF","C_0805_2012Metric",-59.129240,27.546800,0.000000,bottom
"D3","SZESD9B5","D_SOD-923",-38.749240,26.946800,180.000000,bottom
"D4","SZESD9B5","D_SOD-923",-36.529240,26.946800,180.000000,bottom
"D5","SZESD9B5","D_SOD-923",-56.329240,22.946800,0.000000,bottom
"D6","SZESD9B5","D_SOD-923",-59.929240,22.946800,0.000000,bottom
"L1","CDRH6D38-6R2","CDRH6D38NP6R2NC",-56.129240,43.146800,270.000000,bottom
"L2","CDRH6D38-6R2","CDRH6D38NP6R2NC",-29.329240,13.346800,270.000000,bottom
"P1","Reset","SW_SPST_XINES",-4.929240,12.346800,0.000000,bottom
"P2","ID0","SW_SPST_XINES",-20.529240,30.946800,90.000000,bottom
"Q1","Si2319CDS","SOT-23",-17.129240,12.096800,180.000000,bottom
"Q4","Si2319CDS","SOT-23",-25.329240,52.946800,90.000000,bottom
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-12.129240,12.146800,90.000000,bottom
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.256961,12.146800,270.000000,bottom
"R3","10K","R_0805_2012Metric",-4.979240,42.896800,270.000000,bottom
"R4","10k","R_0805_2012Metric",-11.229240,19.146800,0.000000,bottom
"R5","10K","R_0805_2012Metric",-2.229240,18.734300,90.000000,bottom
"R6","10k","R_0805_2012Metric",-7.729240,19.146800,180.000000,bottom
"R7","220r","R_0805_2012Metric",-16.229240,19.146800,180.000000,bottom
"R8","220r","R_0805_2012Metric",-9.979240,42.896800,270.000000,bottom
"R9","10K","R_0805_2012Metric",-15.329240,42.546800,270.000000,bottom
"R10","220r","R_0805_2012Metric",-19.529240,21.746800,180.000000,bottom
"R11","10K","R_0805_2012Metric",-1.229240,42.896800,270.000000,bottom
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-25.529240,47.746800,180.000000,bottom
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-25.529240,49.946800,180.000000,bottom
"U1","ESP32-WROOM-32","ESP32-WROOM-32",-6.979240,30.396800,90.000000,bottom
"U2","MCP98243T-BE/ST","TSSOP-8_4.4x3mm_P0.65mm",-32.156961,49.356879,180.000000,bottom
"U3","TPS3839DBZ","SOT-23",0.770760,16.146800,90.000000,bottom
"U6","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",-32.479240,42.796800,180.000000,bottom
"U7","ADXL343","LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y",-27.879240,36.546800,180.000000,bottom
"U8","TPS61091","Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias",-48.229240,40.446800,0.000000,bottom
"U9","TPS61092","Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias",-21.729240,9.746800,0.000000,bottom
